Trial_ID,Pitch_Number,Condition_Mode,Selected_Pitch_Type,Selected_Course_Zone,Target_Pos_X,Target_Pos_Y,Target_Pos_Z,Impact_Pos_X,Impact_Pos_Y,Impact_Pos_Z,Noise_Delta_Distance,Mitt_Start_X,Mitt_Start_Y,Mitt_Start_Z,Mitt_Catch_X,Mitt_Catch_Y,Mitt_Catch_Z,Mitt_Movement_Distance,Catch_Result,Batter_Reaction
Sub_Test01,1,Active_Noise,Straight,Low Center Ball,-0.001,0.448,-19.792,0.151,0.320,-19.792,0.199,0.011,0.756,-19.830,0.086,0.412,-19.735,0.365,Ball_PassedBall,CheckSwing
Sub_Test01,2,Active_Noise,Straight,Low Center Ball,0.003,0.466,-19.789,0.104,0.509,-19.789,0.110,-0.031,0.768,-19.793,0.130,0.529,-19.660,0.317,Strike,Swing
Sub_Test01,3,Active_Noise,Straight,Low Center Ball,-0.013,0.555,-19.831,-0.133,0.492,-19.831,0.135,-0.023,0.729,-19.797,-0.007,0.464,-19.663,0.298,Ball_PassedBall,CheckSwing
Sub_Test01,4,Active_Noise,Straight,Low Center Ball,-0.051,0.575,-19.780,0.034,0.625,-19.780,0.099,-0.040,0.674,-19.782,-0.065,0.563,-19.717,0.131,Strike,Swing
Sub_Test01,5,Active_Noise,Straight,Low Center Ball,-0.025,0.615,-19.817,0.049,0.452,-19.817,0.179,-0.034,0.676,-19.777,-0.008,0.416,-19.663,0.286,Ball,Take
Sub_Test01,6,Active_Noise,Straight,Low Center Ball,-0.065,0.450,-19.736,-0.122,0.390,-19.736,0.083,-0.037,0.716,-19.779,-0.026,0.298,-19.634,0.443,Ball,Take
Sub_Test01,7,Active_Noise,Straight,Low Center Ball,-0.065,0.464,-19.757,-0.071,0.420,-19.757,0.045,-0.032,0.668,-19.772,-0.028,0.641,-19.763,0.029,Strike_PassedBall,Swing
Sub_Test01,8,Active_Noise,Straight,Low Center Ball,-0.046,0.650,-19.789,-0.093,0.746,-19.789,0.107,-0.048,0.706,-19.788,-0.054,0.475,-19.738,0.236,Strike_PassedBall,Swing
Sub_Test01,9,Active_Noise,Straight,Low Center Ball,-0.017,0.687,-19.842,0.055,0.845,-19.842,0.174,-0.062,0.712,-19.819,0.093,0.737,-19.896,0.175,Strike_PassedBall,Swing
Sub_Test01,10,Active_Noise,Straight,Low Outside Center Ball,0.110,0.687,-19.915,0.143,0.534,-19.915,0.156,-0.018,0.727,-19.820,0.157,0.363,-19.674,0.430,Strike_PassedBall,Swing
Sub_Test01,11,Active_Noise,Straight,Low Center Ball,-0.044,0.620,-19.807,0.004,0.642,-19.807,0.054,-0.016,0.702,-19.810,0.007,0.540,-19.675,0.212,Ball,CheckSwing
Sub_Test01,12,Active_Noise,Straight,Low Center Ball,-0.060,0.657,-19.799,-0.088,0.512,-19.799,0.147,-0.015,0.692,-19.808,-0.083,0.490,-19.674,0.251,Ball_PassedBall,Take
Sub_Test01,13,Active_Noise,Straight,Low Center Ball,-0.019,0.664,-19.805,0.102,0.834,-19.805,0.209,-0.026,0.694,-19.802,0.184,0.612,-19.737,0.235,Strike,Take
Sub_Test01,14,Active_Noise,Straight,Low Inside Center Ball,-0.074,0.455,-19.753,0.101,0.623,-19.753,0.242,-0.036,0.730,-19.758,0.119,0.536,-19.641,0.274,Ball,Take
Sub_Test01,15,Active_Noise,Straight,Low Center Ball,-0.050,0.695,-19.751,-0.009,0.471,-19.751,0.228,-0.017,0.711,-19.786,-0.026,0.508,-19.650,0.244,Ball,Take
Sub_Test01,16,Active_Noise,Straight,Low Center Ball,-0.022,0.636,-19.782,-0.140,0.840,-19.782,0.236,-0.017,0.696,-19.801,-0.039,0.742,-19.843,0.066,Strike_PassedBall,Swing
Sub_Test01,17,Active_Noise,Straight,Low Center,-0.034,0.734,-19.843,0.027,0.933,-19.843,0.208,-0.029,0.721,-19.814,-0.056,0.624,-19.706,0.147,Strike_PassedBall,Swing
Sub_Test01,18,Active_Noise,Straight,Low Inside Center Ball,-0.086,0.698,-19.818,-0.287,0.758,-19.818,0.210,-0.046,0.731,-19.788,-0.205,0.704,-19.750,0.166,Ball_PassedBall,CheckSwing
Sub_Test01,19,Active_Noise,Straight,Low Center Ball,-0.055,0.669,-19.784,-0.249,0.806,-19.784,0.238,-0.029,0.749,-19.792,-0.188,0.708,-19.755,0.168,Strike,CheckSwing
Sub_Test01,20,Active_Noise,Straight,Low Center Ball,-0.055,0.713,-19.841,-0.115,0.833,-19.841,0.135,-0.032,0.729,-19.815,-0.134,0.688,-19.756,0.125,Strike_PassedBall,Swing
Sub_Test01,21,Active_Noise,Straight,Low Inside Center Ball,-0.103,0.661,-19.826,-0.342,0.616,-19.826,0.242,-0.053,0.751,-19.782,-0.305,0.704,-19.738,0.261,Strike,Swing
Sub_Test01,22,Active_Noise,Straight,Low Inside Center Ball,-0.088,0.634,-19.792,0.023,0.510,-19.792,0.166,-0.057,0.726,-19.786,0.074,0.573,-19.683,0.226,Ball_PassedBall,Take
Sub_Test01,23,Active_Noise,Straight,Low Center Ball,0.022,0.714,-19.867,0.852,0.950,-19.867,0.863,-0.045,0.736,-19.828,0.236,0.775,-20.002,0.333,Strike_PassedBall,Swing
